fichier,dossier,cle,nom_pdf,statut,id_1,cand_1,id_2,cand_2,id_3,cand_3,id_retenu
BICYCLE PRICE 2605-YOYO  .pdf,All Catalogues 220926,BICYCLE PRICE   YOYO,,aucun,,,,,,,
2026 YUAN YU Catalog.pdf,All Catalogues 220926,YUAN YU,,à valider,official_621,"SHENZHEN CHANSON INTELLIGENT TECHNOLOGY CO., LTD. [YUAN YUN] E6 E6-0027 · 0.90 brand⊇ ← YUAN YU",official_1253,"ZHANGPU YUAN WEN SHING TECHNOLOGY CO., LTD. [YWS] W2 W2-0743 · 0.90 en⊇ ← YUAN YU",official_1300,"SHENZHEN YUANMAO NEW TECHNOLOGY CO., LTD. [YUAN MAO] W2 W2-1720 · 0.90 brand⊇ ← YUAN YU",
2026 YUEHENG CATALOG.pdf,All Catalogues 220926,YUEHENG,,à valider,official_929,"GUANGDONG YUECHENG PRECISION TECHNOLOGY CO., LTD. [YUECHENG] N1 N1-0443 · 0.75 fuzzy0.93 ← YUEHENG",,,,,
2026 YUN LI DA CATALOG.pdf,All Catalogues 220926,YUN LI DA,,à valider,official_621,"SHENZHEN CHANSON INTELLIGENT TECHNOLOGY CO., LTD. [YUAN YUN] E6 E6-0027 · 0.90 brand⊇ ← YUN LI DA",official_789,"SHENZHEN MINUO BICYCLE CO., LTD. [GUANG YUN] E7 E7-1311 · 0.90 brand⊇ ← YUN LI DA",official_1236,"TIANJIN FENGYUN BICYCLE CO., LTD. [FENG YUN] W2 W2-0145 · 0.90 brand⊇ ← YUN LI DA",
2026 ZHEMEI CATALOG.pdf,All Catalogues 220926,ZHEMEI,"Lid Ningbo Zhemei Aluminum Wheel Technology Co., Ltd. | 宁波哲美铝轮科技有限公司",à valider,official_118,"CHANGSHU CHANGFA ALUMINUM IND CO., LTD. [CHANGSHU CHANGFA] E2 E2-0336 · 0.80 token:aluminum ← Lid Ningbo Zhemei Aluminu",official_262,"JIANGMENSHI WEIYI ALUMINUM CO., LTD. [JIANGMENSHI WEIYI] E3 E3-0712 · 0.80 token:aluminum ← Lid Ningbo Zhemei Aluminu",official_285,"LANXISHI TONGLI ALUMINUM CO., LTD. [LANXISHI TONGLI] E3 E3-0937 · 0.80 token:aluminum ← Lid Ningbo Zhemei Aluminu",
2026 ZHIHAO CATALOG-MITTS.pdf,All Catalogues 220926,ZHIHAO   MITTS,,aucun,,,,,,,
Zhongde basket.xlsx,All Catalogues 220926,Zhongde basket,,à valider,official_922,PINGXIANG WENTIAN BASKET FACTORY [WENTIAN BASKET] N1 N1-0430 · 0.80 token:basket ← Zhongde basket,official_1471,"CHANGZHOU HAOTU BASKET OF FITTINGS CO., LTD. [HAOTU BASKET] W4 W4-1644 · 0.80 token:basket ← Zhongde basket",,,
2026 Zhongshan bagmate.pdf,All Catalogues 220926,Zhongshan bagmate,,aucun,,,,,,,
2026 ZHONGZHE CATALOG.pdf,All Catalogues 220926,ZHONGZHE,,aucun,,,,,,,
2022 ZIYI CATALOG.pdf,All Catalogues 220926,ZIYI,,aucun,,,,,,,
2026 1-ZOLO SOLO Catalog.pdf,All Catalogues 220926,ZOLO SOLO,惠州市所洛运动用品有限公司,aucun,,,,,,,
广东欧迪斐斯智能科技有限公司产品手册.pdf,All Catalogues 220926,广东欧迪斐斯智能科技有限公司产品手册,"GUANGDONG ODIFAX INTELLIGENT TECHNOLOGY CO.,LTD | 智能科技有限公司",à valider,official_24,"TIANJIN TIANHENG INTELLIGENT TECHNOLOGY CO., LTD. [DUSHIMA] E1 E1-0316 · 0.95 cn ← 智能科技有限公司",official_248,"KUNSHAN YILUN INTELLIGENT TECHNOLOGY CO., LTD. [YILUN] E3 E3-0416 · 0.95 cn ← 智能科技有限公司",official_261,"NINGBO PENK INTELLIGENT TECHNOLOGY CO., LTD. [PENK] E3 E3-0705 · 0.95 cn ← 智能科技有限公司",
科洛曼（2026~2027年).pdf,All Catalogues 220926,科洛曼（ ~2027年,,aucun,,,,,,,
